,Variable,Unit,Aggregation,czo_id,Discipline
39,air temperature at 10m,,timeofminimum,2435,Climatology / Meteorology
40,air temperature,,timeofmaximum,2435,Climatology / Meteorology
41,air temperature at 2m,,timeofminimum,2435,Climatology / Meteorology
42,air temperature 10m,degreescelsius ,avg,2435,Climatology / Meteorology
43,air temperature 10m,degreescelsius ,maximum,2435,Climatology / Meteorology
44,air temperature 10m,degreescelsius ,minimum,2435,Climatology / Meteorology
45,air temperature 2m,degreescelsius ,avg,2435,Climatology / Meteorology
46,air temperature 2m,degreescelsius ,maximum,2435,Climatology / Meteorology
47,air temperature 2m,degreescelsius ,minimum,2435,Climatology / Meteorology
48,barometric pressure mbar,,,2435,Climatology / Meteorology
49,in sw rad5mmax time,,,2435,Climatology / Meteorology
50,in sw rad5mmin time,,,2435,Climatology / Meteorology
51,in sw radmjm25mtotal,,,2435,Climatology / Meteorology
52,in sw radwm25mmax,,,2435,Climatology / Meteorology
53,in sw radwm25mmin,,,2435,Climatology / Meteorology
54,incoming shortwave radiation in sw radwm25mavg,,,2435,Climatology / Meteorology
55,relative humidity (10m),,,2435,Climatology / Meteorology
56,relative humidity 10m,,maximum,2435,Climatology / Meteorology
57,relative humidity 10m,,timeofmaximum,2435,Climatology / Meteorology
58,relative humidity (10m),,minimum,2435,Climatology / Meteorology
59,relative humidity 10m,,timeofminimum,2435,Climatology / Meteorology
60,relative humidity (2m),,,2435,Climatology / Meteorology
61,relative humidity 2m,,maximum,2435,Climatology / Meteorology
62,relative humidity 2m,,timeofmaximum,2435,Climatology / Meteorology
63,relative humidity (2m),,minimum,2435,Climatology / Meteorology
64,rm young 52202 heated tipping bucket,mm ,,2435,Climatology / Meteorology
65,soil heat fluxwm215cm,,,2435,Climatology / Meteorology
66,soil temperature at 15,degreescelsius cm,,2435,Climatology / Meteorology
67,soil volumetric water content at 15,cm ,,2435,Climatology / Meteorology
68,strandard deviation of wind direction degrees (10m),,,2435,Climatology / Meteorology
69,wind direction degrees,,,2435,Climatology / Meteorology
70,strandard deviation of wind direction degrees (2m),,,2435,Climatology / Meteorology
71,wind direction degrees,,,2435,Climatology / Meteorology
72,wind speed10mmax time,,,2435,Climatology / Meteorology
73,wind speed 2m,,timeofmaximum,2435,Climatology / Meteorology
74,windspeed,meterspersecond ,average,2435,Climatology / Meteorology
75,windspeed,meterspersecond ,maximum,2435,Climatology / Meteorology
76,windspeed,meterspersecond ,average,2435,Climatology / Meteorology
77,windspeed,meterspersecond ,maximum,2435,Climatology / Meteorology
78,datetime,,,2436,Hydrology
79,density,,,2436,Hydrology
80,grain shape,,,2436,Hydrologyf
81,grain size,,,2436,Hydrology
82,layer,,,2436,Hydrology
83,layer hardness,,,2436,Hydrology
84,snow temperature,,,2436,Hydrology
85,surface hardness,,,2436,Hydrology
86,snow depths,,,2448,Hydrology
87,soil temperature,,average,2451,Climatology / Meteorology
88,soil volumetric moisture,,average,2451,Climatology / Meteorology
89,barometric pressure,,maximum,2451,Climatology / Meteorology
90,relative humidity,,maximum,2451,Climatology / Meteorology
91,soil temperature,,maximum,2451,Climatology / Meteorology
92,soil volumetric moisture,,maximum,2451,Climatology / Meteorology
93,solar radiation,,maximum,2451,Climatology / Meteorology
94,temperature,,maximum,2451,Climatology / Meteorology
95,wind speed,,maximum,2451,Climatology / Meteorology
96,mean barometric pressure,,,2451,Climatology / Meteorology
97,mean relative humidity,,,2451,Climatology / Meteorology
98,mean solar radiation,,,2451,Climatology / Meteorology
99,mean temperature,,,2451,Climatology / Meteorology
100,mean wind direction,,,2451,Climatology / Meteorology
101,barometric pressure,,minimum,2451,Climatology / Meteorology
102,relative humidity,,minimum,2451,Climatology / Meteorology
103,soil temperature,,minimum,2451,Climatology / Meteorology
104,soil volumetric moisture,,minimum,2451,Climatology / Meteorology
105,solar radiation,,minimum,2451,Climatology / Meteorology
106,temperature,,minimum,2451,Climatology / Meteorology
107,wind speed,,minimum,2451,Climatology / Meteorology
108,wind speed,,scalarmean,2451,Climatology / Meteorology
109,wind direction,,standarddeviationofmean,2451,Climatology / Meteorology
110,barometric pressure,,timeofmaximum,2451,Climatology / Meteorology
111,relative humidity,,timeofmaximum,2451,Climatology / Meteorology
112,soil temperature,,timeofmaximum,2451,Climatology / Meteorology
113,soil volumetric moisture,,timeofmaximum,2451,Climatology / Meteorology
114,solar radiation,,timeofmaximum,2451,Climatology / Meteorology
115,temperature,,timeofmaximum,2451,Climatology / Meteorology
116,wind speed,,timeofmaximum,2451,Climatology / Meteorology
117,barometric pressure,,timeofminimum,2451,Climatology / Meteorology
118,relative humidity,,timeofminimum,2451,Climatology / Meteorology
119,soil temperature,,timeofminimum,2451,Climatology / Meteorology
120,soil volumetric moisture,,timeofminimum,2451,Climatology / Meteorology
121,solar radiation,,timeofminimum,2451,Climatology / Meteorology
122,temperature,,timeofminimum,2451,Climatology / Meteorology
123,wind speed,,timeofminimum,2451,Climatology / Meteorology
124,solar radiation,,total,2451,Climatology / Meteorology
125,wind speed,,vectormean,2451,Climatology / Meteorology
126,soil temperature depth 15,degreescelsius cm,,2452,Soil Science / Pedology
127,soil volumetric water content depth 15,cm ,,2452,Soil Science / Pedology
128,soil temperature depth 15,degreescelsius cm,,2452,Soil Science / Pedology
129,soil volumetric water content depth 15,cm ,,2452,Soil Science / Pedology
130,soil temperature depth 15,degreescelsius cm,,2452,Soil Science / Pedology
131,soil volumetric water content depth 15,cm ,,2452,Soil Science / Pedology
132,soil temperature depth 11,degreescelsius cm,,2452,Soil Science / Pedology
133,soil volumetric water content depth 11,cm ,,2452,Soil Science / Pedology
134,soil temperature depth 12,degreescelsius cm,,2452,Soil Science / Pedology
135,soil volumetric water content depth 12,cm ,,2452,Soil Science / Pedology
136,land use type,,,2459,Biology / Ecology
137,land classification,,,2460,Biology / Ecology
138,land use,,,2461,Biology / Ecology
139,time lapse camera pictures,,,2467,Data Management / CyberInfrastructure 
140,carbon particulate organic,,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
141,carbon to nitrogen molar ratio,,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
142,nitrogen particulate organic,,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
143,nitrogen15 stable isotope ratio delta,,,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
144,solids suspended,,total,2474,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
145,albedo,,,2475,Climatology / Meteorology
146,net shortwave radiation,,,2475,Climatology / Meteorology
147,radiation net longwave,,,2475,Climatology / Meteorology
148,wind,,std,2491,Climatology / Meteorology|Hydrology
149,net radiation,,,2494,Climatology / Meteorology
150,pressure gauge,,,2497,Hydrology
151,radiation incoming,,,2501,Climatology / Meteorology|Hydrology
152,temperature infrared,,,2501,Climatology / Meteorology|Hydrology
153,stream flow,,,2504,Hydrology
154,dissolved oxygen,,,2514,Climatology / Meteorology|Hydrology|Water Chemistry
155,turbidity,,,2514,Climatology / Meteorology|Hydrology|Water Chemistry
156,acid neutralizing capacity,,,2515,Biology / Ecology|Water Chemistry
157,boron,,,2515,Biology / Ecology|Water Chemistry
158,chloride,,,2515,Biology / Ecology|Water Chemistry
159,fluoride,,,2515,Biology / Ecology|Water Chemistry
160,nitrogen nh3,,,2515,Biology / Ecology|Water Chemistry
161,nitrogen nitrate no3,,,2515,Biology / Ecology|Water Chemistry
162,nitrogen nitrite no2,,,2515,Biology / Ecology|Water Chemistry
163,phosphorus orthophosphate dissolved,,,2515,Biology / Ecology|Water Chemistry
164,silica,,,2515,Biology / Ecology|Water Chemistry
165,sulfate,,,2515,Biology / Ecology|Water Chemistry
166,ground water depth,,,2516,Hydrology
167,velocity,,,2517,Biology / Ecology
168,nitrogen,,total,2544,Climatology / Meteorology|Hydrology|Water Chemistry
169,salinity,,,2544,Climatology / Meteorology|Hydrology|Water Chemistry
170,flux density,,average,2551,Biogeochemistry
171,bedrock,,,2551,Biogeochemistry
172,catena,,,2551,Biogeochemistry
173,hclp,,,2551,Biogeochemistry
174,iron oxide,,,2551,Biogeochemistry
175,mean annual precipitation,,,2551,Biogeochemistry
176,mean elevation,,,2551,Biogeochemistry
177,inorganic phosphorus,,,2551,Biogeochemistry
178,organic phosphorus (nahco3po),,,2551,Biogeochemistry
179,nahco3pt,,,2551,Biogeochemistry
180,naohpi,,,2551,Biogeochemistry
181,naohpo,,,2551,Biogeochemistry
182,naohpt,,,2551,Biogeochemistry
183,residual p,,,2551,Biogeochemistry
184,residual to,,total,2551,Biogeochemistry
185,tau p,,,2551,Biogeochemistry
186,phosphorus,,total,2551,Biogeochemistry
187,correlation,,,2556,Climatology / Meteorology|Hydrology
188,device,,,2556,Climatology / Meteorology|Hydrology
189,precipitation type hourly data only,,,2556,Climatology / Meteorology|Hydrology
190,precipitation,mm ,total,2556,Climatology / Meteorology|Hydrology
191,calendar year,,,2558,Climatology / Meteorology
192,carbon dioxide concentration mgm3,,,2558,Climatology / Meteorology
193,carbon dioxide flux,umolm2 ,,2558,Climatology / Meteorology
194,decimal day  local time,,,2558,Climatology / Meteorology
195,friction velocity,ms ,,2558,Climatology / Meteorology
196,horizontal wind speed,ms ,,2558,Climatology / Meteorology
197,julian day,,,2558,Climatology / Meteorology
198,latent heat flux,wm2 ,,2558,Climatology / Meteorology
199,local time est,,,2558,Climatology / Meteorology
200,sensible heat flux,wm2 ,,2558,Climatology / Meteorology
201,vertical wind speed,ms ,,2558,Climatology / Meteorology
202,water vapor concentration,gm3 ,,2558,Climatology / Meteorology
203,recorder code,,,2568,Biology / Ecology
204,filtered bare earth dem,,,2570,GIS / Remote Sensing
205,filtered bare earth hillshade,,,2570,GIS / Remote Sensing
206,unfiltered first return dem,,,2570,GIS / Remote Sensing
207,unfiltered first return hillshade,,,2570,GIS / Remote Sensing
208,canopy cover,,,2571,Biology / Ecology|GIS / Remote Sensing
209,diameter at breast height,,,2571,Biology / Ecology|GIS / Remote Sensing
210,height to live canopy base,,,2571,Biology / Ecology|GIS / Remote Sensing
211,leaf area index,,,2571,Biology / Ecology|GIS / Remote Sensing
212,height,,max,2571,Biology / Ecology|GIS / Remote Sensing
213,mean height,,,2571,Biology / Ecology|GIS / Remote Sensing
214,gis geospatial database,,,2572,GIS / Remote Sensing
215,description,,,2573,GIS / Remote Sensing
216,easting,,,2573,GIS / Remote Sensing
217,northing,,,2573,GIS / Remote Sensing
218,point number,,,2573,GIS / Remote Sensing
219,ground surface elevation,,,2574,Geomorphology|GIS / Remote Sensing
220,x coordinate,,,2574,Geomorphology|GIS / Remote Sensing
221,y coordinate,,,2574,Geomorphology|GIS / Remote Sensing
222,concentration,,,2578,Geochemistry / Mineralogy|Water Chemistry|Hydrology
223,acetate m,,,2580,Biogeochemistry|Water Chemistry|Hydrology
224,alkalinity,meql1 ,,2580,Biogeochemistry|Water Chemistry|Hydrology
225,formate m,,,2580,Biogeochemistry|Water Chemistry|Hydrology
226,nickel m,,,2580,Biogeochemistry|Water Chemistry|Hydrology
227,phosphate m,,,2580,Biogeochemistry|Water Chemistry|Hydrology
228,sample date,,,2580,Biogeochemistry|Water Chemistry|Hydrology
229,v m,,,2580,Biogeochemistry|Water Chemistry|Hydrology
230,water temperature,celsius ,,2580,Biogeochemistry|Water Chemistry|Hydrology
231,zinc m,,,2580,Biogeochemistry|Water Chemistry|Hydrology
232,air temperature,degreescelsius ,,2583,Soil Science / Pedology
233,decimal time of day,,,2583,Soil Science / Pedology
234,rainfall,mm ,,2584,Soil Science / Pedology|Climatology / Meteorology
235,reflectivity dbz,,,2585,Soil Science / Pedology
236,water table or,cm mm,,2586,Soil Science / Pedology
237,water table raw,mv ,,2586,Soil Science / Pedology
238,well summary data only,,,2586,Soil Science / Pedology
239,temperature,degreescelsius ,,2587,Soil Science / Pedology
240,soil moisture m3m3,,,2588,Soil Science / Pedology
241,gamma,,count,2591,Geophysics
242,date of event mdyy,,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
243,date sample collected mdyy,,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
244,duration of collection hrmm,,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
245,precipitation amount from disdrometer,mm ,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
246,start  end of collection,,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
247,time event began,,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
248,discharge cmd,,,2594,Water Chemistry|Hydrology
249,18o reportable value,permil ,,2599,Water Chemistry|Hydrology
250,18o,permil ,standarddeviation,2599,Water Chemistry|Hydrology
251,2h reportable value,permil ,,2599,Water Chemistry|Hydrology
252,2h,permil ,standarddeviation,2599,Water Chemistry|Hydrology
253,calendar season,,,2599,Water Chemistry|Hydrology
254,date,,,2599,Water Chemistry|Hydrology
255,depth to water table m,,,2599,Water Chemistry|Hydrology
256,elevation of water table m,,,2599,Water Chemistry|Hydrology
257,empty,,,2599,Water Chemistry|Hydrology
258,time collected,,,2599,Water Chemistry|Hydrology
259,depth of sample,cm ,,2600,Water Chemistry|Hydrology
260,253matricpotential,kpa ,,2601,Soil Science / Pedology
261,electrical conductivity dsm,,,2602,Soil Science / Pedology
262,mps matric potential,kpa ,,2606,Soil Science / Pedology
263,imaginary dielectric constant,,,2607,Soil Science / Pedology
264,real dielectric constant,,,2608,Soil Science / Pedology
265,analysis date,,,2609,Geochemistry / Mineralogy|Biogeochemistry
266,city,,,2609,Geochemistry / Mineralogy|Biogeochemistry
267,collection method,,,2609,Geochemistry / Mineralogy|Biogeochemistry
268,country,,,2609,Geochemistry / Mineralogy|Biogeochemistry
269,depth to bedrock,,,2609,Geochemistry / Mineralogy|Biogeochemistry
270,erosion rate,,,2609,Geochemistry / Mineralogy|Biogeochemistry
271,exposure age,,,2609,Geochemistry / Mineralogy|Biogeochemistry
272,institutions,,,2609,Geochemistry / Mineralogy|Biogeochemistry
273,laboratory conducting analysis,,,2609,Geochemistry / Mineralogy|Biogeochemistry
274,mean annual temperature,,,2609,Geochemistry / Mineralogy|Biogeochemistry
275,method of analysis,,,2609,Geochemistry / Mineralogy|Biogeochemistry
276,method of preparation,,,2609,Geochemistry / Mineralogy|Biogeochemistry
277,numeric information,,,2609,Geochemistry / Mineralogy|Biogeochemistry
278,parent lithology,,,2609,Geochemistry / Mineralogy|Biogeochemistry
279,persons,,,2609,Geochemistry / Mineralogy|Biogeochemistry
280,publications,,,2609,Geochemistry / Mineralogy|Biogeochemistry
281,sample medium,,,2609,Geochemistry / Mineralogy|Biogeochemistry
282,sampling date and time,,,2609,Geochemistry / Mineralogy|Biogeochemistry
283,sampling depth,cm ,,2609,Geochemistry / Mineralogy|Biogeochemistry
284,slope degree,,,2609,Geochemistry / Mineralogy|Biogeochemistry
285,soil taxonomy,,,2609,Geochemistry / Mineralogy|Biogeochemistry
286,ssurgoid,,,2609,Geochemistry / Mineralogy|Biogeochemistry
287,state,,,2609,Geochemistry / Mineralogy|Biogeochemistry
288,textual information,,,2609,Geochemistry / Mineralogy|Biogeochemistry
289,digital surface model,,,2613,GIS / Remote Sensing
290,shaded relief,,,2613,GIS / Remote Sensing
291,classified point cloud,,,2615,Geomorphology|GIS / Remote Sensing
292,digital elevation model,,,2615,Geomorphology|GIS / Remote Sensing
293,air temperature,degreescelsius ,,2617,Climatology / Meteorology
294,instantaneous radiation,,average,2617,Climatology / Meteorology
295,par radiation,,average,2617,Climatology / Meteorology
296,photosynthetic flux density,,average,2617,Climatology / Meteorology
297,relative humidity,,average,2617,Climatology / Meteorology
298,temperature,,average,2617,Climatology / Meteorology
299,unit vector wind direction,,average,2617,Climatology / Meteorology
300,wind vector direction,,average,2617,Climatology / Meteorology
301,global radiation mjmeter2,,,2617,Climatology / Meteorology
302,instantaneous photo synthetic flux density moles,,,2617,Climatology / Meteorology
303,wind direction degree,,meanofmean,2617,Climatology / Meteorology
304,mean wind speed,,,2617,Climatology / Meteorology
305,reflected radiation par,,,2617,Climatology / Meteorology
306,instantaneous radiation,,standarddeviation,2617,Climatology / Meteorology
307,global radiation,,standarddeviationof,2617,Climatology / Meteorology
308,photon flux density pfd,,standarddeviationof,2617,Climatology / Meteorology
309,reflected radiation,,standarddeviationof,2617,Climatology / Meteorology
310,relative humidity,,standarddeviationof,2617,Climatology / Meteorology
311,temperature,,standarddeviationof,2617,Climatology / Meteorology
312,wind speed,,standarddeviationof,2617,Climatology / Meteorology
313,flux density solar radiation,,total,2617,Climatology / Meteorology
314,photosynthetic flux density,,total,2617,Climatology / Meteorology
315,incoming solar radiation,,,2619,Climatology / Meteorology
316,precipitation horizontal,,,2619,Climatology / Meteorology
317,o3,,average,2620,Climatology / Meteorology
318,external temperature,,,2620,Climatology / Meteorology
319,internal temperature,,,2620,Climatology / Meteorology
320,ozone,,maximum,2620,Climatology / Meteorology
321,ozone,,minimum,2620,Climatology / Meteorology
322,ozone,,standarddeviation,2620,Climatology / Meteorology
323,instantaneous radiation moles,,average,2622,Climatology / Meteorology
324,photosynthetic flux density moles,,average,2622,Climatology / Meteorology
325,instantaneous radiation moles,,,2622,Climatology / Meteorology
326,par density,,standarddeviationof,2622,Climatology / Meteorology
327,mean albedo,,,2624,Climatology / Meteorology
328,mean global radiation,,,2624,Climatology / Meteorology
329,temperature,,meanofmaximum,2624,Climatology / Meteorology
330,temperature,,meanofminimum,2624,Climatology / Meteorology
331,relative humidity,,meanofmaximum,2624,Climatology / Meteorology
332,windspeed,,meanofmaximum,2624,Climatology / Meteorology
333,unit wind vector,,meanofmean,2624,Climatology / Meteorology
334,wind speeds,,meanofmean,2624,Climatology / Meteorology
335,relative humidity,,meanofminimum,2624,Climatology / Meteorology
336,wind speed,,meanofminimum,2624,Climatology / Meteorology
337,of wind speed direction,,meanofstandarddeviation,2624,Climatology / Meteorology
338,mean photosynthetic flux density (ppfd),,,2624,Climatology / Meteorology
339,mean precipitation,,,2624,Climatology / Meteorology
340,mean shortwave radiation inbound,,,2624,Climatology / Meteorology
341,mean shortwave radiation outbound,,,2624,Climatology / Meteorology
342,incoming shortwave radiation,,meanstandarddeviationof,2624,Climatology / Meteorology
343,outgoing shortwave radiation,,meanstandarddeviationof,2624,Climatology / Meteorology
344,meantimeofmaximum relative humidity,,,2624,Climatology / Meteorology
345,meantimeofmaximum temperature,,,2624,Climatology / Meteorology
346,meantimeofmaximum wind speed,,,2624,Climatology / Meteorology
347,meantimeofminimum relative humidity,,,2624,Climatology / Meteorology
348,meantimeofminimum temperature,,,2624,Climatology / Meteorology
349,meantimeofminimum wind speed,,,2624,Climatology / Meteorology
350,albedo,,median,2624,Climatology / Meteorology
351,global radiation,,median,2624,Climatology / Meteorology
352,temperature,,medianmaximum,2624,Climatology / Meteorology
353,relative humidity,,medianofmaximum,2624,Climatology / Meteorology
354,wind speed,,medianofmaximum,2624,Climatology / Meteorology
355,wind direction degree,,medianofmean,2624,Climatology / Meteorology
356,wind speed,,medianofmean,2624,Climatology / Meteorology
357,relative humidity values,,medianofminimum,2624,Climatology / Meteorology
358,temperature,,medianofminimum,2624,Climatology / Meteorology
359,wind speed,,medianofminimum,2624,Climatology / Meteorology
360,shortwave radiation inbound,,medianof,2624,Climatology / Meteorology
361,shortwave radiation outbound,,medianof,2624,Climatology / Meteorology
362,medianoftimeofmaximum temperature,,,2624,Climatology / Meteorology
363,photosynthetic flux density (ppfd),,median,2624,Climatology / Meteorology
364,precipitation,,median,2624,Climatology / Meteorology
365,relative humidity,,mediantimeofmaximum,2624,Climatology / Meteorology
366,wind speed,,mediantimeofmaximum,2624,Climatology / Meteorology
367,relative humidity,,mediantimeofminimum,2624,Climatology / Meteorology
368,temperature,,mediantimeofminimum,2624,Climatology / Meteorology
369,wind speed,,mediantimeofminimum,2624,Climatology / Meteorology
370,calcium,,,2626,Water Chemistry
371,chlorine,,,2626,Water Chemistry
372,conductivity,,,2626,Water Chemistry
373,potassium,,,2626,Water Chemistry
374,,mg ,,2626,Water Chemistry
375,sodium,,,2626,Water Chemistry
376,ammonia cation nh4n,,,2626,Water Chemistry
377,nitrate,,,2626,Water Chemistry
378,ph,,,2626,Water Chemistry
379,phosphate,,,2626,Water Chemistry
380,silica,,,2626,Water Chemistry
381,sulfate,,,2626,Water Chemistry
382,dissolved nitrogen,,total,2626,Water Chemistry
383,throughfall precipitation mmday,,,2626,Water Chemistry
384,i,,,2627,Water Chemistry
385,c mass,,,2628,Biogeochemistry|Geochemistry / Mineralogy
386,calcium,ppm ,,2628,Biogeochemistry|Geochemistry / Mineralogy
387,magnesium,ppm ,,2628,Biogeochemistry|Geochemistry / Mineralogy
388,n,,,2628,Biogeochemistry|Geochemistry / Mineralogy
389,nitrogen mass,,,2628,Biogeochemistry|Geochemistry / Mineralogy
390,potassium,,,2628,Biogeochemistry|Geochemistry / Mineralogy
391,potasium,ppm ,,2628,Biogeochemistry|Geochemistry / Mineralogy
392,needsvariables,,,2632,Climatology / Meteorology
393,tagged tracers with positions overtime additional documentation is presented within the dataset file,,,2633,Geomorphology
394,sap flux,,,2639,Hydrology|Biology / Ecology
395,particle counts,,,2641,Climatology / Meteorology
396,18o,,,2645,Water Chemistry|Hydrology
397,2h,,,2645,Water Chemistry|Hydrology
398,al3 m,,,2645,Water Chemistry|Hydrology
399,ba m,,,2645,Water Chemistry|Hydrology
400,calcium (ca2) moles,,,2645,Water Chemistry|Hydrology
401,chlorine m,,,2645,Water Chemistry|Hydrology
402,dissolved organic carbon,ppm ,,2645,Water Chemistry|Hydrology
403,f m,,,2645,Water Chemistry|Hydrology
404,Ferric cation fe-3 m,,,2645,Water Chemistry|Hydrology
405,potasium moles,,,2645,Water Chemistry|Hydrology
406,mg2 m,,,2645,Water Chemistry|Hydrology
407,manganese m,,,2645,Water Chemistry|Hydrology
408,sodium m,,,2645,Water Chemistry|Hydrology
409,nitrate m,,,2645,Water Chemistry|Hydrology
410,p m,,,2645,Water Chemistry|Hydrology
411,sample number,,,2645,Water Chemistry|Hydrology
412,silicon m,,,2645,Water Chemistry|Hydrology
413,site name,,,2645,Water Chemistry|Hydrology
414,sulfate 2 m,,,2645,Water Chemistry|Hydrology
415,strontium m,,,2645,Water Chemistry|Hydrology
416,atmospheric pressure mb,,,2646,Geophysics|Hydrology
417,atmospheric temperature,degc ,,2646,Geophysics|Hydrology
418,battery voltage v,,,2646,Geophysics|Hydrology
419,boxcarfiltered 12hour effective measurement depth,cm ,,2646,Geophysics|Hydrology
420,boxcarfiltered 12hour soil moisture  volumetric,,,2646,Geophysics|Hydrology
421,interval end date,,count,2646,Geophysics|Hydrology
422,interval end time,,count,2646,Geophysics|Hydrology
423,effective measurement depth,cm ,,2646,Geophysics|Hydrology
424,fast neutron hr,,count,2646,Geophysics|Hydrology
425,soil moisture  volumetric,,,2646,Geophysics|Hydrology
426,thermal neutron hr,,count,2646,Geophysics|Hydrology
427,crown class,,,2648,Biology / Ecology
428,lai pcc,,,2649,Biology / Ecology
429,lai,,average,2650,Biology / Ecology
430,pcc,,,2650,Biology / Ecology
431,site,,standarddeviation,2650,Biology / Ecology
432,site standard error,,,2650,Biology / Ecology
433,growth,cm ,,2651,Biology / Ecology
434,litter,g ,,2651,Biology / Ecology
435,trap id,,,2651,Biology / Ecology
436,carbon dioxide concentration n2o concentration,ppm ,,2652,Geochemistry / Mineralogy
437,carbon dioxide flux,molm2s1 ,,2652,Geochemistry / Mineralogy
438,elevation error m,,,2652,Geochemistry / Mineralogy
439,elevation m,,,2652,Geochemistry / Mineralogy
440,field tech,,,2652,Geochemistry / Mineralogy
441,local time of day est,,,2652,Geochemistry / Mineralogy
442,partial pressure of carbon dioxide ppmv,,,2652,Geochemistry / Mineralogy
443,sample label,,,2652,Geochemistry / Mineralogy
444,soil depth m,,,2652,Geochemistry / Mineralogy
445,soil temperature at 7 centimeter depth,degreescelsius ,,2652,Geochemistry / Mineralogy
446,cps,,count,2653,Geophysics
447,circumference,cm ,,2654,Biology / Ecology|Hydrology
448,data logger id a port,,,2654,Biology / Ecology|Hydrology
449,data logger id b port,,,2654,Biology / Ecology|Hydrology
450,deuterium mass,g ,,2654,Biology / Ecology|Hydrology
451,diff1avg1	differential degrees c,,,2654,Biology / Ecology|Hydrology
452,injected deuterium mass,g ,,2654,Biology / Ecology|Hydrology
453,injection date,,,2654,Biology / Ecology|Hydrology
454,injection finish time,,,2654,Biology / Ecology|Hydrology
455,injection start time,,,2654,Biology / Ecology|Hydrology
456,record id number for sap flux datalogger,,,2654,Biology / Ecology|Hydrology
457,sampling date tree id,,,2654,Biology / Ecology|Hydrology
458,sap flux time,,,2654,Biology / Ecology|Hydrology
459,sap flux id,,,2654,Biology / Ecology|Hydrology
460,species name,,,2654,Biology / Ecology|Hydrology
461,tower number,,,2654,Biology / Ecology|Hydrology
462,tree group,,,2654,Biology / Ecology|Hydrology
463,tree species,,,2654,Biology / Ecology|Hydrology
464,2h,permil ,,2655,Biology / Ecology|Hydrology
465,d18o,permil ,,2655,Biology / Ecology|Hydrology
466,tree id,,,2655,Biology / Ecology|Hydrology
467,distance,,,2658,Hydrology
468,radiationshortwave,,,2659,Climatology / Meteorology
469,sap flow,,,2661,Biology / Ecology|Hydrology
470,volumetric water content,,,2666,Soil Science / Pedology
471,air temperature,degreescelsius ,,2692,Climatology / Meteorology|Hydrology
472,wind speed,ms ,average,2692,Climatology / Meteorology|Hydrology
473,ground temperature,degc ,,2692,Climatology / Meteorology|Hydrology
474,record,,,2692,Climatology / Meteorology|Hydrology
475,solar radiation,wm2 ,,2692,Climatology / Meteorology|Hydrology
476,volumetric water content,,,2692,Climatology / Meteorology|Hydrology
