,czo_id,variable,DISCIPLINES
87,2451,average soil temperature,Climatology / Meteorology
88,2451,average soil volumetric moisture,Climatology / Meteorology
89,2451,maximum barometric pressure,Climatology / Meteorology
90,2451,maximum relative humidity,Climatology / Meteorology
91,2451,maximum soil temperature,Climatology / Meteorology
92,2451,maximum soil volumetric moisture,Climatology / Meteorology
93,2451,maximum solar radiation,Climatology / Meteorology
94,2451,maximum temperature,Climatology / Meteorology
95,2451,maximum wind speed,Climatology / Meteorology
96,2451,mean barometric pressure,Climatology / Meteorology
97,2451,mean relative humidity,Climatology / Meteorology
98,2451,mean solar radiation,Climatology / Meteorology
99,2451,mean temperature,Climatology / Meteorology
100,2451,mean wind direction,Climatology / Meteorology
101,2451,minimum barometric pressure,Climatology / Meteorology
102,2451,minimum relative humidity,Climatology / Meteorology
103,2451,minimum soil temperature,Climatology / Meteorology
104,2451,minimum soil volumetric moisture,Climatology / Meteorology
105,2451,minimum solar radiation,Climatology / Meteorology
106,2451,minimum temperature,Climatology / Meteorology
107,2451,minimum wind speed,Climatology / Meteorology
108,2451,scalar mean wind speed,Climatology / Meteorology
109,2451,standard deviation of mean wind direction,Climatology / Meteorology
110,2451,time of maximum barometric pressure,Climatology / Meteorology
111,2451,time of maximum relative humidity,Climatology / Meteorology
112,2451,time of maximum soil temperature,Climatology / Meteorology
113,2451,time of maximum soil volumetric moisture,Climatology / Meteorology
114,2451,time of maximum solar radiation,Climatology / Meteorology
115,2451,time of maximum temperature,Climatology / Meteorology
116,2451,time of maximum wind speed,Climatology / Meteorology
117,2451,time of minimum barometric pressure,Climatology / Meteorology
118,2451,time of minimum relative humidity,Climatology / Meteorology
119,2451,time of minimum soil temperature,Climatology / Meteorology
120,2451,time of minimum soil volumetric moisture,Climatology / Meteorology
121,2451,time of minimum solar radiation,Climatology / Meteorology
122,2451,time of minimum temperature,Climatology / Meteorology
123,2451,time of minimum wind speed,Climatology / Meteorology
124,2451,total solar radiation,Climatology / Meteorology
125,2451,vector mean wind speed,Climatology / Meteorology
126,2452,soil temperature degrees celsius depth 15 cm,Soil Science / Pedology
127,2452,soil volumetric water content depth 15 cm ,Soil Science / Pedology
128,2452,soil temperature degrees celsius depth 15 cm,Soil Science / Pedology
129,2452,soil volumetric water content depth 15 cm ,Soil Science / Pedology
130,2452,soil temperature degrees celsius depth 15 cm,Soil Science / Pedology
131,2452,soil volumetric water content depth 15 cm ,Soil Science / Pedology
132,2452,soil temperature degrees celsius depth 11 cm,Soil Science / Pedology
133,2452,soil volumetric water content depth 11 cm ,Soil Science / Pedology
134,2452,soil temperature degrees celsius depth 12 cm,Soil Science / Pedology
135,2452,soil volumetric water content depth 12 cm ,Soil Science / Pedology
136,2459,land use type,Biology / Ecology
137,2460,land classification,Biology / Ecology
138,2461,land use,Biology / Ecology
139,2467,time lapse camera pictures,Data Management / CyberInfrastructure 
140,2474,carbon particulate organic,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
141,2474,carbon to nitrogen molar ratio,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
142,2474,nitrogen particulate organic,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
143,2474,nitrogen15 stable isotope ratio delta,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
144,2474,solids total suspended,Water Chemistry|Geomorphology|Biogeochemistry|Hydrology|Geochemistry / Mineralogy
145,2475,albedo,Climatology / Meteorology
146,2475,net shortwave radiation,Climatology / Meteorology
147,2475,radiation net longwave,Climatology / Meteorology
148,2491,wind std,Climatology / Meteorology|Hydrology
149,2494,net radiation,Climatology / Meteorology
150,2497,pressure gauge,Hydrology
151,2501,radiation incoming,Climatology / Meteorology|Hydrology
152,2501,temperature infrared,Climatology / Meteorology|Hydrology
153,2504,stream flow,Hydrology
154,2514,dissolved oxygen,Climatology / Meteorology|Hydrology|Water Chemistry
155,2514,turbidity,Climatology / Meteorology|Hydrology|Water Chemistry
156,2515,acid neutralizing capacity,Biology / Ecology|Water Chemistry
157,2515,boron,Biology / Ecology|Water Chemistry
158,2515,chloride,Biology / Ecology|Water Chemistry
159,2515,fluoride,Biology / Ecology|Water Chemistry
160,2515,nitrogen nh3,Biology / Ecology|Water Chemistry
161,2515,nitrogen nitrate no3,Biology / Ecology|Water Chemistry
162,2515,nitrogen nitrite no2,Biology / Ecology|Water Chemistry
163,2515,phosphorus orthophosphate dissolved,Biology / Ecology|Water Chemistry
164,2515,silica,Biology / Ecology|Water Chemistry
165,2515,sulfate,Biology / Ecology|Water Chemistry
166,2516,ground water depth,Hydrology
167,2517,velocity,Biology / Ecology
168,2544,nitrogen total,Climatology / Meteorology|Hydrology|Water Chemistry
169,2544,salinity,Climatology / Meteorology|Hydrology|Water Chemistry
170,2551,average flux density,Biogeochemistry
171,2551,bedrock,Biogeochemistry
172,2551,catena,Biogeochemistry
173,2551,hclp,Biogeochemistry
174,2551,iron oxide,Biogeochemistry
175,2551,mean annual precipitation,Biogeochemistry
176,2551,mean elevation,Biogeochemistry
177,2551,inorganic phosphorus ,Biogeochemistry
178,2551,organic phosphorus (nahco3po),Biogeochemistry
179,2551,nahco3pt,Biogeochemistry
180,2551,naohpi,Biogeochemistry
181,2551,naohpo,Biogeochemistry
182,2551,naohpt,Biogeochemistry
183,2551,residual p,Biogeochemistry
184,2551,residual to total,Biogeochemistry
185,2551,tau p,Biogeochemistry
186,2551,total phosphorus,Biogeochemistry
187,2556,correlation,Climatology / Meteorology|Hydrology
188,2556,device,Climatology / Meteorology|Hydrology
189,2556,precipitation type hourly data only,Climatology / Meteorology|Hydrology
190,2556,total precipitation mm,Climatology / Meteorology|Hydrology
191,2558,calendar year,Climatology / Meteorology
192,2558,carbon dioxide concentration mgm3,Climatology / Meteorology
193,2558,carbon dioxide flux umolm2,Climatology / Meteorology
194,2558,decimal day  local time,Climatology / Meteorology
195,2558,friction velocity ms,Climatology / Meteorology
196,2558,horizontal wind speed ms,Climatology / Meteorology
197,2558,julian day,Climatology / Meteorology
198,2558,latent heat flux wm2,Climatology / Meteorology
199,2558,local time est,Climatology / Meteorology
200,2558,sensible heat flux wm2,Climatology / Meteorology
201,2558,vertical wind speed ms,Climatology / Meteorology
202,2558,water vapor concentration gm3,Climatology / Meteorology
203,2568,recorder code,Biology / Ecology
204,2570,filtered bare earth dem,GIS / Remote Sensing
205,2570,filtered bare earth hillshade,GIS / Remote Sensing
206,2570,unfiltered first return dem,GIS / Remote Sensing
207,2570,unfiltered first return hillshade,GIS / Remote Sensing
208,2571,canopy cover,Biology / Ecology|GIS / Remote Sensing
209,2571,diameter at breast height,Biology / Ecology|GIS / Remote Sensing
210,2571,height to live canopy base,Biology / Ecology|GIS / Remote Sensing
211,2571,leaf area index,Biology / Ecology|GIS / Remote Sensing
212,2571,max height,Biology / Ecology|GIS / Remote Sensing
213,2571,mean height,Biology / Ecology|GIS / Remote Sensing
214,2572,gis geospatial database,GIS / Remote Sensing
215,2573,description,GIS / Remote Sensing
216,2573,easting,GIS / Remote Sensing
217,2573,northing,GIS / Remote Sensing
218,2573,point number,GIS / Remote Sensing
219,2574,ground surface elevation,Geomorphology|GIS / Remote Sensing
220,2574,x coordinate,Geomorphology|GIS / Remote Sensing
221,2574,y coordinate,Geomorphology|GIS / Remote Sensing
222,2578,concentration,Geochemistry / Mineralogy|Water Chemistry|Hydrology
223,2580,acetate m,Biogeochemistry|Water Chemistry|Hydrology
224,2580,alkalinity meq l1,Biogeochemistry|Water Chemistry|Hydrology
225,2580,formate m,Biogeochemistry|Water Chemistry|Hydrology
226,2580,nickel m,Biogeochemistry|Water Chemistry|Hydrology
227,2580,phosphate m,Biogeochemistry|Water Chemistry|Hydrology
228,2580,sample date,Biogeochemistry|Water Chemistry|Hydrology
229,2580,v m,Biogeochemistry|Water Chemistry|Hydrology
230,2580,water temperature celsius,Biogeochemistry|Water Chemistry|Hydrology
231,2580,zinc m,Biogeochemistry|Water Chemistry|Hydrology
232,2583,air temperature degrees celsius,Soil Science / Pedology
233,2583,decimal time of day,Soil Science / Pedology
234,2584,rainfall mm,Soil Science / Pedology|Climatology / Meteorology
235,2585,reflectivity dbz,Soil Science / Pedology
236,2586,water table mm or cm,Soil Science / Pedology
237,2586,water table raw mv,Soil Science / Pedology
238,2586,well summary data only,Soil Science / Pedology
239,2587,temperature degrees celsius,Soil Science / Pedology
240,2588,soil moisture m3m3,Soil Science / Pedology
241,2591,gamma count,Geophysics
242,2593,date of event mdyy,Water Chemistry|Hydrology|Climatology / Meteorology
243,2593,date sample collected mdyy,Water Chemistry|Hydrology|Climatology / Meteorology
244,2593,duration of collection hrmm,Water Chemistry|Hydrology|Climatology / Meteorology
245,2593,precipitation amount from disdrometer mm,Water Chemistry|Hydrology|Climatology / Meteorology
246,2593,start  end of collection,Water Chemistry|Hydrology|Climatology / Meteorology
247,2593,time event began,Water Chemistry|Hydrology|Climatology / Meteorology
248,2594,discharge cmd,Water Chemistry|Hydrology
249,2599,18o reportable value permil,Water Chemistry|Hydrology
250,2599,18o standard deviation permil,Water Chemistry|Hydrology
251,2599,2h reportable value permil,Water Chemistry|Hydrology
252,2599,2h standard deviation permil,Water Chemistry|Hydrology
253,2599,calendar season,Water Chemistry|Hydrology
254,2599,date,Water Chemistry|Hydrology
255,2599,depth to water table m,Water Chemistry|Hydrology
256,2599,elevation of water table m,Water Chemistry|Hydrology
257,2599,empty,Water Chemistry|Hydrology
258,2599,time collected,Water Chemistry|Hydrology
259,2600,depth of sample cm,Water Chemistry|Hydrology
260,2601,253matricpotential kpa,Soil Science / Pedology
261,2602,electrical conductivity dsm,Soil Science / Pedology
262,2606,mps matric potential kpa,Soil Science / Pedology
263,2607,imaginary dielectric constant,Soil Science / Pedology
264,2608,real dielectric constant,Soil Science / Pedology
265,2609,analysis date,Geochemistry / Mineralogy|Biogeochemistry
266,2609,city,Geochemistry / Mineralogy|Biogeochemistry
267,2609,collection method,Geochemistry / Mineralogy|Biogeochemistry
268,2609,country,Geochemistry / Mineralogy|Biogeochemistry
269,2609,depth to bedrock,Geochemistry / Mineralogy|Biogeochemistry
270,2609,erosion rate,Geochemistry / Mineralogy|Biogeochemistry
271,2609,exposure age,Geochemistry / Mineralogy|Biogeochemistry
272,2609,institutions,Geochemistry / Mineralogy|Biogeochemistry
273,2609,laboratory conducting analysis,Geochemistry / Mineralogy|Biogeochemistry
274,2609,mean annual temperature,Geochemistry / Mineralogy|Biogeochemistry
275,2609,method of analysis,Geochemistry / Mineralogy|Biogeochemistry
276,2609,method of preparation,Geochemistry / Mineralogy|Biogeochemistry
277,2609,numeric information,Geochemistry / Mineralogy|Biogeochemistry
278,2609,parent lithology,Geochemistry / Mineralogy|Biogeochemistry
279,2609,persons,Geochemistry / Mineralogy|Biogeochemistry
280,2609,publications,Geochemistry / Mineralogy|Biogeochemistry
281,2609,sample medium,Geochemistry / Mineralogy|Biogeochemistry
282,2609,sampling date and time,Geochemistry / Mineralogy|Biogeochemistry
283,2609,sampling depth cm,Geochemistry / Mineralogy|Biogeochemistry
284,2609,slope degree,Geochemistry / Mineralogy|Biogeochemistry
285,2609,soil taxonomy,Geochemistry / Mineralogy|Biogeochemistry
286,2609,ssurgoid,Geochemistry / Mineralogy|Biogeochemistry
287,2609,state,Geochemistry / Mineralogy|Biogeochemistry
288,2609,textual information,Geochemistry / Mineralogy|Biogeochemistry
289,2613,digital surface model,GIS / Remote Sensing
290,2613,shaded relief,GIS / Remote Sensing
291,2615,classified point cloud,Geomorphology|GIS / Remote Sensing
292,2615,digital elevation model,Geomorphology|GIS / Remote Sensing
293,2617,air temperature degrees celsius,Climatology / Meteorology
294,2617,average instantaneous radiation,Climatology / Meteorology
295,2617,average par radiation,Climatology / Meteorology
296,2617,average photosynthetic flux density,Climatology / Meteorology
297,2617,average relative humidity,Climatology / Meteorology
298,2617,average temperature,Climatology / Meteorology
299,2617,average unit vector wind direction,Climatology / Meteorology
300,2617,average wind vector direction,Climatology / Meteorology
301,2617,global radiation mjmeter2,Climatology / Meteorology
302,2617,instantaneous photo synthetic flux density moles,Climatology / Meteorology
303,2617,mean of mean wind direction degree,Climatology / Meteorology
304,2617,mean wind speed,Climatology / Meteorology
305,2617,reflected radiation par,Climatology / Meteorology
306,2617,standard deviation instantaneous radiation,Climatology / Meteorology
307,2617,standard deviation of global radiation,Climatology / Meteorology
308,2617,standard deviation of photon flux density pfd,Climatology / Meteorology
309,2617,standard deviation of reflected radiation,Climatology / Meteorology
310,2617,standard deviation of relative humidity,Climatology / Meteorology
311,2617,standard deviation of temperature,Climatology / Meteorology
312,2617,standard deviation of wind speed,Climatology / Meteorology
313,2617,total flux density solar radiation,Climatology / Meteorology
314,2617,total photosynthetic flux density,Climatology / Meteorology
315,2619,incoming solar radiation,Climatology / Meteorology
316,2619,precipitation horizontal,Climatology / Meteorology
317,2620,average o3,Climatology / Meteorology
318,2620,external temperature,Climatology / Meteorology
319,2620,internal temperature,Climatology / Meteorology
320,2620,ozone maximum,Climatology / Meteorology
321,2620,ozone minimum,Climatology / Meteorology
322,2620,standard deviation ozone,Climatology / Meteorology
323,2622,average instantaneous radiation moles,Climatology / Meteorology
324,2622,average photosynthetic flux density moles,Climatology / Meteorology
325,2622,instantaneous radiation moles,Climatology / Meteorology
326,2622,standard deviation of par density,Climatology / Meteorology
327,2624,mean albedo,Climatology / Meteorology
328,2624,mean global radiation,Climatology / Meteorology
329,2624,mean maximum temperature,Climatology / Meteorology
330,2624,mean minimum temperature,Climatology / Meteorology
331,2624,mean of maximum relative humidity,Climatology / Meteorology
332,2624,mean of maximum windspeed,Climatology / Meteorology
333,2624,mean of mean unit wind vector,Climatology / Meteorology
334,2624,mean of mean wind speeds,Climatology / Meteorology
335,2624,mean of minimum relative humidity,Climatology / Meteorology
336,2624,mean of minimum wind speed,Climatology / Meteorology
337,2624,mean of standard deviation of wind speed direction,Climatology / Meteorology
338,2624,mean photosynthetic flux density (ppfd),Climatology / Meteorology
339,2624,mean precipitation,Climatology / Meteorology
340,2624,mean shortwave radiation inbound,Climatology / Meteorology
341,2624,mean shortwave radiation outbound,Climatology / Meteorology
342,2624,mean standard deviation of incoming shortwave radiation,Climatology / Meteorology
343,2624,mean standard deviation of outgoing shortwave radiation,Climatology / Meteorology
344,2624,mean time of maximum relative humidity,Climatology / Meteorology
345,2624,mean time of maximum temperature,Climatology / Meteorology
346,2624,mean time of maximum wind speed,Climatology / Meteorology
347,2624,mean time of minimum relative humidity,Climatology / Meteorology
348,2624,mean time of minimum temperature,Climatology / Meteorology
349,2624,mean time of minimum wind speed,Climatology / Meteorology
350,2624,median albedo,Climatology / Meteorology
351,2624,median global radiation,Climatology / Meteorology
352,2624,median maximum temperature,Climatology / Meteorology
353,2624,median of maximum relative humidity,Climatology / Meteorology
354,2624,median of maximum wind speed,Climatology / Meteorology
355,2624,median of mean wind direction degree,Climatology / Meteorology
356,2624,median of mean wind speed,Climatology / Meteorology
357,2624,median of minimum relative humidity values,Climatology / Meteorology
358,2624,median of minimum temperature,Climatology / Meteorology
359,2624,median of minimum wind speed,Climatology / Meteorology
360,2624,median of shortwave radiation inbound,Climatology / Meteorology
361,2624,median of shortwave radiation outbound,Climatology / Meteorology
362,2624,median of time of maximum temperature,Climatology / Meteorology
363,2624,median photosynthetic flux density (ppfd),Climatology / Meteorology
364,2624,median precipitation,Climatology / Meteorology
365,2624,median time of maximum relative humidity,Climatology / Meteorology
366,2624,median time of maximum wind speed,Climatology / Meteorology
367,2624,median time of minimum relative humidity,Climatology / Meteorology
368,2624,median time of minimum temperature,Climatology / Meteorology
369,2624,median time of minimum wind speed,Climatology / Meteorology
370,2626,calcium,Water Chemistry
371,2626,chlorine ,Water Chemistry
372,2626,conductivity,Water Chemistry
373,2626,potassium,Water Chemistry
374,2626,mg,Water Chemistry
375,2626,sodium,Water Chemistry
376,2626,ammonia cation nh4n,Water Chemistry
377,2626,nitrate,Water Chemistry
378,2626,ph,Water Chemistry
379,2626,phosphate,Water Chemistry
380,2626,silica,Water Chemistry
381,2626,sulfate,Water Chemistry
382,2626,total dissolved nitrogen,Water Chemistry
383,2626,throughfall precipitation mmday,Water Chemistry
384,2627,i,Water Chemistry
385,2628,c mass,Biogeochemistry|Geochemistry / Mineralogy
386,2628,calcium ppm,Biogeochemistry|Geochemistry / Mineralogy
387,2628,magnesium ppm,Biogeochemistry|Geochemistry / Mineralogy
388,2628,n ,Biogeochemistry|Geochemistry / Mineralogy
389,2628,nitrogen mass,Biogeochemistry|Geochemistry / Mineralogy
390,2628,potassium,Biogeochemistry|Geochemistry / Mineralogy
391,2628,potasium ppm,Biogeochemistry|Geochemistry / Mineralogy
392,2632,needsvariables,Climatology / Meteorology
393,2633,tagged tracers with positions overtime additional documentation is presented within the dataset file,Geomorphology
394,2639,sap flux,Hydrology|Biology / Ecology
395,2641,particle counts,Climatology / Meteorology
396,2645,18o,Water Chemistry|Hydrology
397,2645,2h ,Water Chemistry|Hydrology
398,2645,al3 m,Water Chemistry|Hydrology
399,2645,ba m,Water Chemistry|Hydrology
400,2645,calcium (ca2) moles,Water Chemistry|Hydrology
401,2645,chlorine m,Water Chemistry|Hydrology
402,2645,dissolved organic carbon ppm,Water Chemistry|Hydrology
403,2645,f m,Water Chemistry|Hydrology
404,2645,Ferric cation fe-3 m,Water Chemistry|Hydrology
405,2645,potasium moles,Water Chemistry|Hydrology
406,2645,mg2 m,Water Chemistry|Hydrology
407,2645,manganese m,Water Chemistry|Hydrology
408,2645,sodium m,Water Chemistry|Hydrology
409,2645,nitrate m,Water Chemistry|Hydrology
410,2645,p m,Water Chemistry|Hydrology
411,2645,sample number,Water Chemistry|Hydrology
412,2645,silicon m,Water Chemistry|Hydrology
413,2645,site name,Water Chemistry|Hydrology
414,2645,sulfate 2 m,Water Chemistry|Hydrology
415,2645,strontium m,Water Chemistry|Hydrology
416,2646,atmospheric pressure mb,Geophysics|Hydrology
417,2646,atmospheric temperature deg c,Geophysics|Hydrology
418,2646,battery voltage v,Geophysics|Hydrology
419,2646,boxcarfiltered 12hour effective measurement depth cm,Geophysics|Hydrology
420,2646,boxcarfiltered 12hour soil moisture  volumetric,Geophysics|Hydrology
421,2646,count interval end date,Geophysics|Hydrology
422,2646,count interval end time,Geophysics|Hydrology
423,2646,effective measurement depth cm,Geophysics|Hydrology
424,2646,fast neutron count hr,Geophysics|Hydrology
425,2646,soil moisture  volumetric,Geophysics|Hydrology
426,2646,thermal neutron count hr,Geophysics|Hydrology
427,2648,crown class,Biology / Ecology
428,2649,lai pcc ,Biology / Ecology
429,2650,average lai,Biology / Ecology
430,2650,pcc ,Biology / Ecology
431,2650,site standard deviation,Biology / Ecology
432,2650,site standard error,Biology / Ecology
433,2651,growth cm,Biology / Ecology
434,2651,litter g,Biology / Ecology
435,2651,trap id,Biology / Ecology
436,2652,carbon dioxide concentration ppm n2o concentration ppm,Geochemistry / Mineralogy
437,2652,carbon dioxide flux molm2s1,Geochemistry / Mineralogy
438,2652,elevation error m,Geochemistry / Mineralogy
439,2652,elevation m,Geochemistry / Mineralogy
440,2652,field tech,Geochemistry / Mineralogy
441,2652,local time of day est,Geochemistry / Mineralogy
442,2652,partial pressure of carbon dioxide ppmv,Geochemistry / Mineralogy
443,2652,sample label,Geochemistry / Mineralogy
444,2652,soil depth m,Geochemistry / Mineralogy
445,2652,soil temperature degrees celsius at 7 centimeter depth ,Geochemistry / Mineralogy
446,2653,count cps,Geophysics
447,2654,circumference cm,Biology / Ecology|Hydrology
448,2654,data logger id a port,Biology / Ecology|Hydrology
449,2654,data logger id b port,Biology / Ecology|Hydrology
450,2654,deuterium mass g,Biology / Ecology|Hydrology
451,2654,diff1avg1	differential degrees c,Biology / Ecology|Hydrology
452,2654,injected deuterium mass g,Biology / Ecology|Hydrology
453,2654,injection date,Biology / Ecology|Hydrology
454,2654,injection finish time,Biology / Ecology|Hydrology
455,2654,injection start time,Biology / Ecology|Hydrology
456,2654,record id number for sap flux datalogger,Biology / Ecology|Hydrology
457,2654,sampling date tree id,Biology / Ecology|Hydrology
458,2654,sap flux time,Biology / Ecology|Hydrology
459,2654,sap flux id,Biology / Ecology|Hydrology
460,2654,species name,Biology / Ecology|Hydrology
461,2654,tower number,Biology / Ecology|Hydrology
462,2654,tree group,Biology / Ecology|Hydrology
463,2654,tree species,Biology / Ecology|Hydrology
464,2655,2h permil,Biology / Ecology|Hydrology
465,2655,d18o permil,Biology / Ecology|Hydrology
466,2655,tree id,Biology / Ecology|Hydrology
467,2658,distance,Hydrology
468,2659,radiationshortwave,Climatology / Meteorology
469,2661,sap flow,Biology / Ecology|Hydrology
470,2666,volumetric water content,Soil Science / Pedology
471,2692,air temperature degrees celsius,Climatology / Meteorology|Hydrology
472,2692,average wind speed ms,Climatology / Meteorology|Hydrology
473,2692,ground temperature deg c,Climatology / Meteorology|Hydrology
474,2692,record,Climatology / Meteorology|Hydrology
475,2692,solar radiation wm2,Climatology / Meteorology|Hydrology
476,2692,volumetric water content,Climatology / Meteorology|Hydrology
477,2692,wind speed meters per second,Climatology / Meteorology|Hydrology
478,2695,absolute pressure,Hydrology
479,2695,barometric pressure,Hydrology
480,2742,specific uv absorbance,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology
481,2742,ultra violet absorbance,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology
482,2752,average hmp virtual temperature deg c,Climatology / Meteorology
483,2752,average hmp water vapor concentration g m3,Climatology / Meteorology
484,2752,average irga surface pressure kpa,Climatology / Meteorology
485,2752,average irga water vapor concentration g m3,Climatology / Meteorology
486,2752,average net radiation w m2,Climatology / Meteorology
487,2752,average photosynthetically active radiation mol m2 s1,Climatology / Meteorology
488,2752,est,Climatology / Meteorology
489,2752,hmp relative humidity ,Climatology / Meteorology
490,2752,hmp virtual temperature deg c,Climatology / Meteorology
491,2752,leaf wetness sensor voltage output mv,Climatology / Meteorology
492,2752,record number,Climatology / Meteorology
493,2752,timestamp utc4,Climatology / Meteorology
494,2782,air temperature degrees celsius,Climatology / Meteorology|Hydrology
495,2782,sensor depth cm,Climatology / Meteorology|Hydrology
496,2782,air temperature degrees celsius,Climatology / Meteorology|Hydrology
497,2782,sensor depth cm,Climatology / Meteorology|Hydrology
498,2782,air temperature degrees celsius,Climatology / Meteorology|Hydrology
499,2782,sensor depth cm,Climatology / Meteorology|Hydrology
500,2782,air temperature degrees celsius,Climatology / Meteorology|Hydrology
501,2782,sensor depth cm,Climatology / Meteorology|Hydrology
502,2782,air temperature degrees celsius,Climatology / Meteorology|Hydrology
503,2782,sensor depth cm,Climatology / Meteorology|Hydrology
504,2821,air temperature,Climatology / Meteorology
505,2821,atmospheric pressure,Climatology / Meteorology
506,2821,rain,Climatology / Meteorology
507,2821,shortwave radiation,Climatology / Meteorology
508,2821,soil moisture,Climatology / Meteorology
509,2821,soil temperature,Climatology / Meteorology
510,2822,depth meter,Geophysics
511,2822,ohmm,Geophysics
512,2822,velocity meters per second,Geophysics
513,2833,c,Biology / Ecology
514,2833,soil microbe counts,Biology / Ecology
515,2860,xrd,Geochemistry / Mineralogy
516,2860,xrf,Geochemistry / Mineralogy
517,2862,ash free dry mass (afdm),Biology / Ecology|Hydrology
