,Variable,Unit,Aggregations,czo_id,Discipline
184,residual p,NaN,,2551,Biogeochemistry
185,residual to total,NaN,,2551,Biogeochemistry
186,tau p,NaN,,2551,Biogeochemistry
187,total phosphorus,NaN,,2551,Biogeochemistry
188,correlation,NaN,,2556,Climatology / Meteorology|Hydrology
189,device,NaN,,2556,Climatology / Meteorology|Hydrology
190,precipitation type hourly data only,NaN,,2556,Climatology / Meteorology|Hydrology
191,total precipitation,mm,,2556,Climatology / Meteorology|Hydrology
192,calendar year,NaN,,2558,Climatology / Meteorology
193,carbon dioxide concentration mgm3,NaN,,2558,Climatology / Meteorology
194,carbon dioxide flux,umolm2,,2558,Climatology / Meteorology
195,decimal day  local time,NaN,,2558,Climatology / Meteorology
196,friction velocity,ms,,2558,Climatology / Meteorology
197,horizontal wind speed,ms,,2558,Climatology / Meteorology
198,julian day,NaN,,2558,Climatology / Meteorology
199,latent heat flux,wm2,,2558,Climatology / Meteorology
200,local time est,NaN,,2558,Climatology / Meteorology
201,sensible heat flux,wm2,,2558,Climatology / Meteorology
202,vertical wind speed,ms,,2558,Climatology / Meteorology
203,water vapor concentration,gm3,,2558,Climatology / Meteorology
204,recorder code,NaN,,2568,Biology / Ecology
205,filtered bare earth dem,NaN,,2570,GIS / Remote Sensing
206,filtered bare earth hillshade,NaN,,2570,GIS / Remote Sensing
207,unfiltered first return dem,NaN,,2570,GIS / Remote Sensing
208,unfiltered first return hillshade,NaN,,2570,GIS / Remote Sensing
209,canopy cover,NaN,,2571,Biology / Ecology|GIS / Remote Sensing
210,diameter at breast height,NaN,,2571,Biology / Ecology|GIS / Remote Sensing
211,height to live canopy base,NaN,,2571,Biology / Ecology|GIS / Remote Sensing
212,leaf area index,NaN,,2571,Biology / Ecology|GIS / Remote Sensing
213,max height,NaN,,2571,Biology / Ecology|GIS / Remote Sensing
214,mean height,NaN,,2571,Biology / Ecology|GIS / Remote Sensing
215,gis geospatial database,NaN,,2572,GIS / Remote Sensing
216,description,NaN,,2573,GIS / Remote Sensing
217,easting,NaN,,2573,GIS / Remote Sensing
218,northing,NaN,,2573,GIS / Remote Sensing
219,point number,NaN,,2573,GIS / Remote Sensing
220,ground surface elevation,NaN,,2574,Geomorphology|GIS / Remote Sensing
221,x coordinate,NaN,,2574,Geomorphology|GIS / Remote Sensing
222,y coordinate,NaN,,2574,Geomorphology|GIS / Remote Sensing
223,concentration,NaN,,2578,Geochemistry / Mineralogy|Water Chemistry|Hydrology
224,acetate m,NaN,,2580,Biogeochemistry|Water Chemistry|Hydrology
225,alkalinity,meql1,,2580,Biogeochemistry|Water Chemistry|Hydrology
226,formate m,NaN,,2580,Biogeochemistry|Water Chemistry|Hydrology
227,nickel m,NaN,,2580,Biogeochemistry|Water Chemistry|Hydrology
228,phosphate m,NaN,,2580,Biogeochemistry|Water Chemistry|Hydrology
229,sample date,NaN,,2580,Biogeochemistry|Water Chemistry|Hydrology
230,v m,NaN,,2580,Biogeochemistry|Water Chemistry|Hydrology
231,water temperature,celsius,,2580,Biogeochemistry|Water Chemistry|Hydrology
232,zinc m,NaN,,2580,Biogeochemistry|Water Chemistry|Hydrology
233,air temperature,degreescelsius,,2583,Soil Science / Pedology
234,decimal time of day,NaN,,2583,Soil Science / Pedology
235,rainfall,mm,,2584,Soil Science / Pedology|Climatology / Meteorology
236,reflectivity dbz,NaN,,2585,Soil Science / Pedology
237,water table mm or,cm,,2586,Soil Science / Pedology
238,water table raw,mv,,2586,Soil Science / Pedology
239,well summary data only,NaN,,2586,Soil Science / Pedology
240,temperature,degreescelsius,,2587,Soil Science / Pedology
241,soil moisture m3m3,NaN,,2588,Soil Science / Pedology
242,gamma count,NaN,,2591,Geophysics
243,date of event mdyy,NaN,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
244,date sample collected mdyy,NaN,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
245,duration of collection hrmm,NaN,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
246,precipitation amount from disdrometer,mm,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
247,start  end of collection,NaN,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
248,time event began,NaN,,2593,Water Chemistry|Hydrology|Climatology / Meteorology
249,discharge cmd,NaN,,2594,Water Chemistry|Hydrology
250,18o reportable value,permil,,2599,Water Chemistry|Hydrology
251,18o standarddeviation,permil,,2599,Water Chemistry|Hydrology
252,2h reportable value,permil,,2599,Water Chemistry|Hydrology
253,2h standarddeviation,permil,,2599,Water Chemistry|Hydrology
254,calendar season,NaN,,2599,Water Chemistry|Hydrology
255,date,NaN,,2599,Water Chemistry|Hydrology
256,depth to water table m,NaN,,2599,Water Chemistry|Hydrology
257,elevation of water table m,NaN,,2599,Water Chemistry|Hydrology
258,empty,NaN,,2599,Water Chemistry|Hydrology
259,time collected,NaN,,2599,Water Chemistry|Hydrology
260,depth of sample,cm,,2600,Water Chemistry|Hydrology
261,253matricpotential,kpa,,2601,Soil Science / Pedology
262,electrical conductivity dsm,NaN,,2602,Soil Science / Pedology
263,mps matric potential,kpa,,2606,Soil Science / Pedology
264,imaginary dielectric constant,NaN,,2607,Soil Science / Pedology
265,real dielectric constant,NaN,,2608,Soil Science / Pedology
266,analysis date,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
267,city,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
268,collection method,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
269,country,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
270,depth to bedrock,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
271,erosion rate,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
272,exposure age,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
273,institutions,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
274,laboratory conducting analysis,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
275,mean annual temperature,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
276,method of analysis,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
277,method of preparation,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
278,numeric information,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
279,parent lithology,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
280,persons,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
281,publications,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
282,sample medium,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
283,sampling date and time,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
284,sampling depth,cm,,2609,Geochemistry / Mineralogy|Biogeochemistry
285,slope degree,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
286,soil taxonomy,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
287,ssurgoid,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
288,state,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
289,textual information,NaN,,2609,Geochemistry / Mineralogy|Biogeochemistry
290,digital surface model,NaN,,2613,GIS / Remote Sensing
291,shaded relief,NaN,,2613,GIS / Remote Sensing
292,classified point cloud,NaN,,2615,Geomorphology|GIS / Remote Sensing
293,digital elevation model,NaN,,2615,Geomorphology|GIS / Remote Sensing
294,air temperature,degreescelsius,,2617,Climatology / Meteorology
295,average instantaneous radiation,NaN,,2617,Climatology / Meteorology
296,average par radiation,NaN,,2617,Climatology / Meteorology
297,average photosynthetic flux density,NaN,,2617,Climatology / Meteorology
298,average relative humidity,NaN,,2617,Climatology / Meteorology
299,average temperature,NaN,,2617,Climatology / Meteorology
300,average unit vector wind direction,NaN,,2617,Climatology / Meteorology
301,average wind vector direction,NaN,,2617,Climatology / Meteorology
302,global radiation mjmeter2,NaN,,2617,Climatology / Meteorology
303,instantaneous photo synthetic flux density moles,NaN,,2617,Climatology / Meteorology
304,meanofmean wind direction degree,NaN,,2617,Climatology / Meteorology
305,mean wind speed,NaN,,2617,Climatology / Meteorology
306,reflected radiation par,NaN,,2617,Climatology / Meteorology
307,standarddeviation instantaneous radiation,NaN,,2617,Climatology / Meteorology
308,standarddeviationof global radiation,NaN,,2617,Climatology / Meteorology
309,standarddeviationof photon flux density pfd,NaN,,2617,Climatology / Meteorology
310,standarddeviationof reflected radiation,NaN,,2617,Climatology / Meteorology
311,standarddeviationof relative humidity,NaN,,2617,Climatology / Meteorology
312,standarddeviationof temperature,NaN,,2617,Climatology / Meteorology
313,standarddeviationof wind speed,NaN,,2617,Climatology / Meteorology
314,total flux density solar radiation,NaN,,2617,Climatology / Meteorology
315,total photosynthetic flux density,NaN,,2617,Climatology / Meteorology
316,incoming solar radiation,NaN,,2619,Climatology / Meteorology
317,precipitation horizontal,NaN,,2619,Climatology / Meteorology
318,average o3,NaN,,2620,Climatology / Meteorology
319,external temperature,NaN,,2620,Climatology / Meteorology
320,internal temperature,NaN,,2620,Climatology / Meteorology
321,ozone maximum,NaN,,2620,Climatology / Meteorology
322,ozone minimum,NaN,,2620,Climatology / Meteorology
323,standarddeviation ozone,NaN,,2620,Climatology / Meteorology
324,average instantaneous radiation moles,NaN,,2622,Climatology / Meteorology
325,average photosynthetic flux density moles,NaN,,2622,Climatology / Meteorology
326,instantaneous radiation moles,NaN,,2622,Climatology / Meteorology
327,standarddeviationof par density,NaN,,2622,Climatology / Meteorology
328,mean albedo,NaN,,2624,Climatology / Meteorology
329,mean global radiation,NaN,,2624,Climatology / Meteorology
330,meanofmaximum temperature,NaN,,2624,Climatology / Meteorology
331,meanofminimum temperature,NaN,,2624,Climatology / Meteorology
332,meanofmaximum relative humidity,NaN,,2624,Climatology / Meteorology
333,meanofmaximum windspeed,NaN,,2624,Climatology / Meteorology
334,meanofmean unit wind vector,NaN,,2624,Climatology / Meteorology
335,meanofmean wind speeds,NaN,,2624,Climatology / Meteorology
336,meanofminimum relative humidity,NaN,,2624,Climatology / Meteorology
337,meanofminimum wind speed,NaN,,2624,Climatology / Meteorology
338,meanofstandarddeviation of wind speed direction,NaN,,2624,Climatology / Meteorology
339,mean photosynthetic flux density (ppfd),NaN,,2624,Climatology / Meteorology
340,mean precipitation,NaN,,2624,Climatology / Meteorology
341,mean shortwave radiation inbound,NaN,,2624,Climatology / Meteorology
342,mean shortwave radiation outbound,NaN,,2624,Climatology / Meteorology
343,meanstandarddeviationof incoming shortwave radiation,NaN,,2624,Climatology / Meteorology
344,meanstandarddeviationof outgoing shortwave radiation,NaN,,2624,Climatology / Meteorology
345,meantimeofmaximum relative humidity,NaN,,2624,Climatology / Meteorology
346,meantimeofmaximum temperature,NaN,,2624,Climatology / Meteorology
347,meantimeofmaximum wind speed,NaN,,2624,Climatology / Meteorology
348,meantimeofminimum relative humidity,NaN,,2624,Climatology / Meteorology
349,meantimeofminimum temperature,NaN,,2624,Climatology / Meteorology
350,meantimeofminimum wind speed,NaN,,2624,Climatology / Meteorology
351,median albedo,NaN,,2624,Climatology / Meteorology
352,median global radiation,NaN,,2624,Climatology / Meteorology
353,medianmaximum temperature,NaN,,2624,Climatology / Meteorology
354,medianofmaximum relative humidity,NaN,,2624,Climatology / Meteorology
355,medianofmaximum wind speed,NaN,,2624,Climatology / Meteorology
356,medianofmean wind direction degree,NaN,,2624,Climatology / Meteorology
357,medianofmean wind speed,NaN,,2624,Climatology / Meteorology
358,medianofminimum relative humidity values,NaN,,2624,Climatology / Meteorology
359,medianofminimum temperature,NaN,,2624,Climatology / Meteorology
360,medianofminimum wind speed,NaN,,2624,Climatology / Meteorology
361,medianof shortwave radiation inbound,NaN,,2624,Climatology / Meteorology
362,medianof shortwave radiation outbound,NaN,,2624,Climatology / Meteorology
363,medianoftimeofmaximum temperature,NaN,,2624,Climatology / Meteorology
364,median photosynthetic flux density (ppfd),NaN,,2624,Climatology / Meteorology
365,median precipitation,NaN,,2624,Climatology / Meteorology
366,mediantimeofmaximum relative humidity,NaN,,2624,Climatology / Meteorology
367,mediantimeofmaximum wind speed,NaN,,2624,Climatology / Meteorology
368,mediantimeofminimum relative humidity,NaN,,2624,Climatology / Meteorology
369,mediantimeofminimum temperature,NaN,,2624,Climatology / Meteorology
370,mediantimeofminimum wind speed,NaN,,2624,Climatology / Meteorology
371,calcium,NaN,,2626,Water Chemistry
372,chlorine,NaN,,2626,Water Chemistry
373,conductivity,NaN,,2626,Water Chemistry
374,potassium,NaN,,2626,Water Chemistry
375, ,mg,,2626,Water Chemistry
376,sodium,NaN,,2626,Water Chemistry
377,ammonia cation nh4n,NaN,,2626,Water Chemistry
378,nitrate,NaN,,2626,Water Chemistry
379,ph,NaN,,2626,Water Chemistry
380,phosphate,NaN,,2626,Water Chemistry
381,silica,NaN,,2626,Water Chemistry
382,sulfate,NaN,,2626,Water Chemistry
383,total dissolved nitrogen,NaN,,2626,Water Chemistry
384,throughfall precipitation mmday,NaN,,2626,Water Chemistry
385,i,NaN,,2627,Water Chemistry
386,c mass,NaN,,2628,Biogeochemistry|Geochemistry / Mineralogy
387,calcium,ppm,,2628,Biogeochemistry|Geochemistry / Mineralogy
388,magnesium,ppm,,2628,Biogeochemistry|Geochemistry / Mineralogy
389,n,NaN,,2628,Biogeochemistry|Geochemistry / Mineralogy
390,nitrogen mass,NaN,,2628,Biogeochemistry|Geochemistry / Mineralogy
391,potassium,NaN,,2628,Biogeochemistry|Geochemistry / Mineralogy
392,potasium,ppm,,2628,Biogeochemistry|Geochemistry / Mineralogy
393,needsvariables,NaN,,2632,Climatology / Meteorology
394,tagged tracers with positions overtime additional documentation is presented within the dataset file,NaN,,2633,Geomorphology
395,sap flux,NaN,,2639,Hydrology|Biology / Ecology
396,particle counts,NaN,,2641,Climatology / Meteorology
397,18o,NaN,,2645,Water Chemistry|Hydrology
398,2h,NaN,,2645,Water Chemistry|Hydrology
399,al3 m,NaN,,2645,Water Chemistry|Hydrology
400,ba m,NaN,,2645,Water Chemistry|Hydrology
401,calcium (ca2) moles,NaN,,2645,Water Chemistry|Hydrology
402,chlorine m,NaN,,2645,Water Chemistry|Hydrology
403,dissolved organic carbon,ppm,,2645,Water Chemistry|Hydrology
404,f m,NaN,,2645,Water Chemistry|Hydrology
405,Ferric cation fe-3 m,NaN,,2645,Water Chemistry|Hydrology
406,potasium moles,NaN,,2645,Water Chemistry|Hydrology
407,mg2 m,NaN,,2645,Water Chemistry|Hydrology
408,manganese m,NaN,,2645,Water Chemistry|Hydrology
409,sodium m,NaN,,2645,Water Chemistry|Hydrology
410,nitrate m,NaN,,2645,Water Chemistry|Hydrology
411,p m,NaN,,2645,Water Chemistry|Hydrology
412,sample number,NaN,,2645,Water Chemistry|Hydrology
413,silicon m,NaN,,2645,Water Chemistry|Hydrology
414,site name,NaN,,2645,Water Chemistry|Hydrology
415,sulfate 2 m,NaN,,2645,Water Chemistry|Hydrology
416,strontium m,NaN,,2645,Water Chemistry|Hydrology
417,atmospheric pressure mb,NaN,,2646,Geophysics|Hydrology
418,atmospheric temperature,degc,,2646,Geophysics|Hydrology
419,battery voltage v,NaN,,2646,Geophysics|Hydrology
420,boxcarfiltered 12hour effective measurement depth,cm,,2646,Geophysics|Hydrology
421,boxcarfiltered 12hour soil moisture  volumetric,NaN,,2646,Geophysics|Hydrology
422,count interval end date,NaN,,2646,Geophysics|Hydrology
423,count interval end time,NaN,,2646,Geophysics|Hydrology
424,effective measurement depth,cm,,2646,Geophysics|Hydrology
425,fast neutron count hr,NaN,,2646,Geophysics|Hydrology
426,soil moisture  volumetric,NaN,,2646,Geophysics|Hydrology
427,thermal neutron count hr,NaN,,2646,Geophysics|Hydrology
428,crown class,NaN,,2648,Biology / Ecology
429,lai pcc,NaN,,2649,Biology / Ecology
430,average lai,NaN,,2650,Biology / Ecology
431,pcc,NaN,,2650,Biology / Ecology
432,site standarddeviation,NaN,,2650,Biology / Ecology
433,site standard error,NaN,,2650,Biology / Ecology
434,growth,cm,,2651,Biology / Ecology
435,litter,g,,2651,Biology / Ecology
436,trap id,NaN,,2651,Biology / Ecology
437,carbon dioxide concentration n2o concentration,ppm,,2652,Geochemistry / Mineralogy
438,carbon dioxide flux,molm2s1,,2652,Geochemistry / Mineralogy
439,elevation error m,NaN,,2652,Geochemistry / Mineralogy
